ID_EMPLEADO	DEBE	HABER	IMPORTE
1100	64920000	44089910	10,23
1100	44089901	44089909	20,00
1100	44089901	47510000	1802,61
1100	44089901	47519000	9,40
1100	64920000	44089901	158,20
1100	64300010	44089977	293,58
1100	64020000	44089901	766,13
1100	44089305	43100	56,54
1100	44089901	44089300	56,54
1100	44089901	64200000	305,41
1100	64200000	47600000	1815,02
1100	64000000	44089901	5105,50
1100	64020000	44089901	33,44
1113	64920000	44089901	41,98
1113	44089901	47510000	738,50
1113	44089901	47519000	5,84
1113	64920000	44089901	169,50
1113	64300010	44089977	166,78
1113	64020000	44089901	531,31
1113	44089901	64200000	241,58
1113	64200000	47600000	1403,74
1113	64000000	44089901	2762,41
1113	64020000	44089901	81,51
1185	64920000	44089910	51,15
1185	44089901	44089909	20,00
1185	62920000	44089901	117,30
1185	44089901	47510000	2753,10
1185	44089901	47519000	12,97
1185	62921000	44089901	45,00
1185	64300010	44089977	400,76
1185	64020000	44089901	2909,75
1185	44089901	64200000	305,41
1185	64200000	47600000	1815,02
1185	64000000	44089901	5105,50
1185	64020000	44089901	10,45
1185	44089901	44089909	113,30
1186	64040000	44089901	536,94
1186	44089901	44089914	172,37
1186	25400000	76249300	9,96
1186	44089901	47510000	1096,74
1186	44089901	47519000	408,03
1186	64920000	44089901	113,00
1186	64020000	44089901	1253,34
1186	44089901	64200000	305,41
1186	64200000	47600000	1815,02
1186	64000000	44089901	2407,79
1187	64040000	44089901	208,33
1187	44089901	47510000	1630,17
1187	44089901	47519000	6,37
1187	64920000	44089901	124,30
1187	64020000	44089901	2276,00
1187	44089901	64200000	305,41
1187	64200000	47600000	1815,02
1187	64000000	44089901	3057,57
1195	44089901	47510000	717,27
1195	44089901	47519000	3,68
1195	64920000	44089901	124,30
1195	64300010	44089977	174,65
1195	64020000	44089901	552,63
1195	44089901	64200000	247,86
1195	64200000	47600000	1441,06
1195	64000000	44089901	2940,35
1195	64020000	44089901	29,26
1206	64920000	44089901	41,98
1206	62921000	44089926	203,15
1206	64001810	44089901	1625,00
1206	44089901	47510000	2422,48
1206	44089901	47519000	141,07
1206	64920000	44089901	124,30
1206	64300010	44089977	235,99
1206	64020000	44089901	34,04
1206	64001810	44089901	174,29
1206	41600000	64000000	997,35
1206	44089901	44089903	38,00
1206	44089901	64200000	305,41
1206	64200000	47600000	1815,02
1206	64900000	44089901	16,67
1206	64000000	44089901	5500,83
1211	64920000	44089901	19,10
1211	62921000	44089926	63,00
1211	64001800	44089901	581,25
1211	44089901	47510000	1304,75
1211	44089901	47519000	121,21
1211	64920000	44089901	135,60
1211	64300010	44089977	198,57
1211	64020000	44089901	500,01
1211	64001800	44089901	186,48
1211	44089901	64200000	305,41
1211	64200000	47600000	1815,02
1211	64000000	44089901	3265,85
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
